"Object", "Type", "Subtype", "Key", "elementContent"
"objectName", "mets", "", "", " sauces"
"objectName", "produit", "végétal", "asperge", ">asperges"
"objectName", "produit", "végétal", "asperge", "Asperges"
"objectName", "", "", "", "arbuste"
"objectName", "", "", "", "asperges"
"objectName", "", "", "", "asperges"
"objectName", "", "", "", "asperges"
"objectName", "ingrédient", "légume", "asperge", "asperges"
"objectName", "mets", "", "asperge", "asperges"
"objectName", "mets", "", "asperge", "asperges"
"objectName", "mets", "", "asperges", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "produit", "végétal", "asperge", "asperges"
"objectName", "ingrédient", "produit_laitier", "beurre", "beurre"
"objectName", "ingrédient", "produit_laitier", "beurrre", "beurre"
"objectName", "ustensile", "", "casserole", "casserole"
"objectName", "", "", "", "champs"
"objectName", "", "", "", "couleur verte"
"objectName", "produit", "végétal", "cresson", "cresson"
"objectName", "produit", "végétal", "cresson", "cresson"
"objectName", "ingrédient", "", "eau", "eau"
"objectName", "ustensile", "", "eau", "eau"
"objectName", "", "", "", "engrais"
"objectName", "ingrédient", "céréale", "farine", "farine"
"objectName", "ingrédient", "céréale", "farine", "farine"
"objectName", "", "", "", "feuillage délicat"
"objectName", "ingrédient", "éparco", "vinaigre", "filet de vinaigre"
"objectName", "ingrédient", "éparco", "huile", "huile"
"objectName", "", "", "", "jardins"
"objectName", "ingrédient", "", "jaune d'œuf", "jaune d’œuf"
"objectName", "produit", "végétal", "légume", "légume"
"objectName", "", "", "", "légumes"
"objectName", "", "", "", "légumes"
"objectName", "produit", "végétal", "légume", "légumes"
"objectName", "produit", "végétal", "légume", "légumes"
"objectName", "produit", "végétal", "légume", "légumes"
"objectName", "produit", "végétal", "légume", "légumes"
"objectName", "", "", "", "nuances roses"
"objectName", "ustensile", "", "panier", "paniers"
"objectName", "", "", "", "pavillons"
"objectName", "", "", "", "pavillons"
"objectName", "", "", "", "pied d'asperges"
"objectName", "", "", "", "pied d'asperges"
"objectName", "", "", "", "plante"
"objectName", "", "", "", "plante"
"objectName", "", "", "", "plante"
"objectName", "ustensile", "", "plat long", "plat long"
"objectName", "ingrédient", "éparco", "poivre blanc", "poivre blanc"
"objectName", "", "", "", "pousse"
"objectName", "", "", "", "racines"
"objectName", "mets", "", "salade", "salade"
"objectName", "mets", "", "sauce blanche", "sauce blanche"
"objectName", "mets", "", "sauce `a l'huile et au vinaigre", "sauce à l'huile et au vinaigre"
"objectName", "ingrédient", "éparco", "sel", "sel"
"objectName", "", "", "", "tendres"
"objectName", "", "", "", "tige"
"objectName", "ustensile", "", "ustensile", "ustensile"
"objectName", "", "", "", "vert foncé"
"objectName", "ingrédient", "éparco", "vinaigre", "vinaigre"